Dato,Tid,Globalstraling,Solskinstid,Lufttemperatur,"Relativ luftfuktighet",Vindretning,Vindstyrke,Lufttrykk,Vindkast
2023-01-01,00:00,-3.6,0,-0.2,83,20,0.1,994.6,0.6
2023-01-01,00:10,-3.1,0,0.1,84,9999.99,0.3,994.8,1.2
2023-01-01,00:20,-2.6,0,0.9,79,44,1.6,994.8,3.6
2023-01-01,00:30,-2.7,0,1.1,70,58,1.9,994.8,3.9
2023-01-01,00:40,-2.6,0,1.2,67,48,1.6,995,2.7
2023-01-01,00:50,-2.6,0,1.2,65,44,2.2,995,4.2
2023-01-01,01:00,-2.9,0,0.9,66,41,1.8,995,4.8
2023-01-01,01:10,-3.1,0,0.6,68,42,1,995,3.3
2023-01-01,01:20,-3,0,0.5,69,50,0.9,995,2.4
2023-01-01,01:30,-2.6,0,0.5,69,57,1,995,2.4
2023-01-01,01:40,-2.3,0,0.5,68,68,1.3,995.1,2.7
2023-01-01,01:50,-2.4,0,0.5,68,70,1.7,995.1,3
2023-01-01,02:00,-2.7,0,0,70,60,1.1,995.3,3.3
2023-01-01,02:10,-2.6,0,-0.2,72,5,0.5,995.3,1.2
2023-01-01,02:20,-2.3,0,-0.2,72,3,0.7,995.3,1.8
2023-01-01,02:30,-2.2,0,-0.2,72,41,0.7,995.5,1.8
2023-01-01,02:40,-2.1,0,-0.2,71,61,0.7,995.5,2.4
2023-01-01,02:50,-2.1,0,-0.4,71,62,0.7,995.5,1.8
2023-01-01,03:00,-1.5,0,-1.1,74,124,0.9,995.6,2.7
2023-01-01,03:10,-1.8,0,-1.2,79,153,1.4,995.6,2.7
2023-01-01,03:20,-2.1,0,-1.5,81,124,1,995.8,2.7
2023-01-01,03:30,-1.6,0,-1.5,82,140,0.5,995.6,1.5
2023-01-01,03:40,-1.6,0,-1.5,82,144,1,995.8,2.1
2023-01-01,03:50,-1.4,0,-1.1,82,125,0.9,995.6,1.8
2023-01-01,04:00,-1,0,0,74,71,2.5,995.6,4.8
2023-01-01,04:10,-1.8,0,0.8,62,65,3.8,995.5,5.4
2023-01-01,04:20,-2.3,0,1.1,55,62,4.5,995.5,6.3
2023-01-01,04:30,-2.5,0,1.1,53,62,3.3,995.6,6
2023-01-01,04:40,-2.7,0,1,53,64,2.7,995.6,4.8
2023-01-01,04:50,-2.5,0,1,52,62,2.8,995.6,5.7
2023-01-01,05:00,-2.6,0,1.1,51,61,3.5,995.6,6.6
2023-01-01,05:10,-2.6,0,0.9,52,72,2.8,995.5,5.1
2023-01-01,05:20,-2.8,0,1.2,49,66,3.4,995.5,7.2
