Dato,Tid,Globalstraling,Solskinstid,Lufttemperatur,"Relativ luftfuktighet",Vindretning,Vindstyrke,Lufttrykk,Vindkast
2023-01-01,05:30,-3.4,0,0.5,53,124,1.2,995.6,4.5
2023-01-01,05:40,-3.8,0,0.5,53,235,1.3,995.6,2.7
2023-01-01,05:50,-3,0,0.5,54,130,0.8,995.5,2.4
2023-01-01,06:00,-2.9,0,0.2,56,27,1.3,995.6,3.3
2023-01-01,06:10,-2.7,0,0.4,53,255,1.3,995.5,2.7
2023-01-01,06:20,-3,0,0.5,49,37,1.6,995.3,4.8
2023-01-01,06:30,-2.8,0,0.5,51,71,1.5,995.3,3.6
2023-01-01,06:40,-2.7,0,0.5,50,28,1.9,995.3,4.5
2023-01-01,06:50,-3.2,0,0.3,50,42,1.5,995.3,4.2
2023-01-01,07:00,-2.9,0,-0.2,55,150,1.2,995.3,2.7
2023-01-01,07:10,-2.8,0,-1.5,66,153,1.9,995.3,3.9
2023-01-01,07:20,-2.5,0,-2.1,70,126,1.6,995.3,2.7
2023-01-01,07:30,-2.4,0,-2.3,73,166,1.6,995.3,3
2023-01-01,07:40,-2.1,0,-2.5,74,146,1.9,995.3,3.3
2023-01-01,07:50,-2.4,0,-2.6,77,105,1.1,995.5,2.7
2023-01-01,08:00,-2.1,0,-2.4,77,140,1.1,995.5,2.1
2023-01-01,08:10,-1.6,0,-2.6,76,133,2,995.5,4.5
2023-01-01,08:20,-1.1,0,-2.4,77,124,1.6,995.3,2.4
2023-01-01,08:30,-0.3,0,-2.6,76,157,1.5,995.3,2.1
2023-01-01,08:40,0.9,0,-2.6,76,142,1.2,995.3,1.8
2023-01-01,08:50,2.3,0,-2.8,76,168,0.9,995.5,1.5
2023-01-01,09:00,4.6,0,-3,78,144,1.7,995.5,2.7
2023-01-01,09:10,6.6,0,-3.4,79,133,1.9,995.5,3.6
2023-01-01,09:20,8.7,0,-2.7,79,103,1.9,995.6,2.7
2023-01-01,09:30,11.8,0,-3.2,78,124,1.9,995.6,2.4
2023-01-01,09:40,21.8,0,-3.2,78,148,1.6,995.6,2.4
2023-01-01,09:50,27.5,0,-3.2,79,174,1.3,995.6,1.8
2023-01-01,10:00,55.1,0,-2.7,79,157,1,995.8,1.8
2023-01-01,10:10,79.7,0,-2.8,78,133,1.6,995.8,2.4
2023-01-01,10:20,86.8,0,-2.4,77,139,1.9,995.8,2.7
2023-01-01,10:30,90.8,0,-2.3,74,137,1.6,995.8,2.4
2023-01-01,10:40,94.7,0,-2.5,74,136,2,996.2,3.3
2023-01-01,10:50,100.7,0,-2.4,74,128,2,996.2,3.3
2023-01-01,11:00,102.8,0,-2.2,71,132,1.6,996.2,2.7
2023-01-01,11:10,104,0,-1.8,71,146,1.6,996.2,2.1
2023-01-01,11:20,103.6,0,-2.3,72,202,0.9,996.2,1.8
2023-01-01,11:30,95.7,0,-1.8,70,188,0.9,996.3,1.5
2023-01-01,11:40,86.7,0,-2.3,72,152,1.3,996.5,1.8
2023-01-01,11:50,31.6,0,-2.4,74,144,0.8,996.7,1.5
2023-01-01,12:00,22,0,-2.6,74,151,0.9,996.7,1.2
2023-01-01,12:10,22.4,0,-2.4,75,147,0.6,996.7,0.9
2023-01-01,12:20,21.5,0,-2.3,74,161,0.8,996.7,1.2
2023-01-01,12:30,20.6,0,-2.3,73,167,0.3,996.7,0.9
2023-01-01,12:40,19.3,0,-2.4,73,139,0.8,996.7,1.2
2023-01-01,12:50,19.3,0,-2.4,75,142,0.9,996.7,1.2
2023-01-01,13:00,18.8,0,-2.4,76,162,0.8,996.7,1.2
2023-01-01,13:10,19,0,-2.4,77,160,0.8,996.7,1.2
2023-01-01,13:20,18.3,0,-2.4,76,158,1,996.8,1.5
2023-01-01,13:30,18.1,0,-2.4,76,131,0.8,996.8,1.2
2023-01-01,13:40,19.6,0,-2.5,77,140,0.7,996.8,1.2
2023-01-01,13:50,21.2,0,-2.4,76,137,0.6,997,0.9
2023-01-01,14:00,19.7,0,-2.6,75,146,0.2,997,0.6
2023-01-01,14:10,12.4,0,-2.7,75,147,0,997.3,0.3
2023-01-01,14:20,7.6,0,-2.5,76,147,0,997.3,0.6
2023-01-01,14:30,4.6,0,-2.7,77,146,0,997.3,0.3
2023-01-01,14:40,2.6,0,-2.8,77,144,0,997.5,0.3
2023-01-01,14:50,1.4,0,-2.8,77,167,0.2,997.7,0.9
2023-01-01,15:00,0.5,0,-2.6,78,151,0.4,997.8,1.2
2023-01-01,15:10,-0.1,0,-2.5,79,125,0.6,998,0.9
2023-01-01,15:20,-0.3,0,-2.3,79,134,0.8,998,1.5
2023-01-01,15:30,-0.5,0,-2.4,79,139,1,998.2,1.5
2023-01-01,15:40,-0.4,0,-2.3,78,135,1,998.2,1.5
2023-01-01,15:50,-0.4,0,-2.2,77,128,1,998.3,1.5
2023-01-01,16:00,-0.8,0,-2.4,77,139,0.8,998.3,1.5
2023-01-01,16:10,-0.8,0,-2.4,77,148,0.8,998.5,1.5
2023-01-01,16:20,-0.8,0,-2.4,76,136,0.5,998.5,1.5
2023-01-01,16:30,-0.7,0,-2.5,77,144,0.5,998.7,0.9
2023-01-01,16:40,-0.4,0,-2.4,77,144,0.5,998.7,1.2
2023-01-01,16:50,-0,0,-2.5,77,134,0.7,998.8,0.9
2023-01-01,17:00,0.1,0,-2.5,77,131,0.8,998.8,1.2
2023-01-01,17:10,0.1,0,-2.2,78,129,0.6,999,0.9
2023-01-01,17:20,0,0,-2.2,78,146,0.5,999.2,0.9
2023-01-01,17:30,-0,0,-2,78,148,0.4,999.2,0.9
2023-01-01,17:40,-0.2,0,-2,77,147,0.2,999.2,0.9
2023-01-01,17:50,-0.2,0,-2.1,78,149,0,999.2,0.6
2023-01-01,18:00,-0.6,0,-2.1,78,135,0.2,999.2,0.6
2023-01-01,18:10,-0.3,0,-1.5,79,187,0.3,999.4,0.9
2023-01-01,18:20,-0.4,0,-1.7,77,270,0.2,999.4,0.9
2023-01-01,18:30,-0.4,0,-1.2,77,275,0.8,999.5,1.2
2023-01-01,18:40,-0.6,0,-1.7,76,272,0.2,999.7,0.9
2023-01-01,18:50,-0.4,0,-1.8,77,243,0.2,999.7,0.9
2023-01-01,19:00,-0.3,0,-2,78,202,0.5,999.9,1.2
2023-01-01,19:10,-0.1,0,-1.8,79,151,0.9,999.9,1.5
2023-01-01,19:20,0,0,-1.7,78,139,0.9,999.9,1.2
2023-01-01,19:30,0.2,0,-1.3,78,140,0.8,999.9,1.2
2023-01-01,19:40,0.2,0,-1.4,78,126,0.6,999.9,1.2
2023-01-01,19:50,0.2,0,-1.4,78,139,0.8,999.9,1.2
2023-01-01,20:00,-0,0,-1.1,79,160,1.1,999.7,1.8
2023-01-01,20:10,-0.2,0,-1.4,80,138,0.2,999.9,1.2
2023-01-01,20:20,-0,0,-1.1,81,152,0.1,999.9,0.6
2023-01-01,20:30,-0.2,0,-0.8,80,183,0.2,999.9,0.9
2023-01-01,20:40,-0.5,0,-1.1,80,185,0.2,999.9,0.9
2023-01-01,20:50,-0.6,0,-0.9,80,191,0.3,999.9,0.9
2023-01-01,21:00,-0.4,0,-1,79,151,,999.7,0.9
2023-01-01,21:10,-0.4,0,-0.9,79,159,0.5,999.9,1.2
2023-01-01,21:20,-0.5,0,-1,79,167,0,999.9,0
2023-01-01,21:30,-0.8,0,-0.9,79,170,0.2,1000,0.9
2023-01-01,21:40,-1.2,0,-1.3,80,153,1.5,1000,2.1
2023-01-01,21:50,-1.3,0,-1,80,131,0.9,1000.2,1.5
2023-01-01,22:00,-1.5,0,-1.2,80,151,0.6,1000.2,1.2
2023-01-01,22:10,-1.2,0,-1.1,80,156,0.2,1000.4,0.6
2023-01-01,22:20,-0.5,0,-1.2,80,142,0,1000.5,0.6
2023-01-01,22:30,-0.1,0,-0.9,81,140,0.1,1000.7,0.6
2023-01-01,22:40,-0.1,0,-0.9,81,153,0,1000.9,0.6
2023-01-01,22:50,-0.2,0,-1.4,81,133,0.8,1000.9,1.5
2023-01-01,23:00,-0.1,0,-1,83,143,1,1000.9,1.5
2023-01-01,23:10,-0.4,0,-0.6,81,128,0.8,1000.7,1.2
2023-01-01,23:20,-1,0,-0.6,79,147,1,1000.7,1.5
2023-01-01,23:30,-1,0,-0.6,79,141,0.8,1000.7,1.2
2023-01-01,23:40,-0.7,0,-0.8,79,139,0.5,1000.7,0.9
2023-01-01,23:50,-0.9,0,-0.7,79,161,0.4,1000.5,0.9
2023-01-02,00:00,-1.2,0,-1.1,78,142,0.1,1000.7,0.6
2023-01-02,00:10,-1.6,0,-1.1,79,166,0.2,1000.7,0.6
2023-01-02,00:20,-1.3,0,-0.8,80,181,0.3,1000.7,1.2
2023-01-02,00:30,-1.7,0,-0.7,78,223,0.6,1000.7,1.2
2023-01-02,00:40,-1.6,0,-1.2,78,223,0.3,1000.7,0.9
2023-01-02,00:50,-1.4,0,-1.2,80,122,0.6,1000.5,1.2
2023-01-02,01:00,-1,0,-1,80,116,0.4,1000.5,0.6
2023-01-02,01:10,-1.2,0,-1.1,80,108,0.3,1000.5,0.9
2023-01-02,01:20,-1.2,0,-1.5,80,108,0,1000.5,0
2023-01-02,01:30,-0.8,0,-1.5,80,109,0,1000.5,0.6
2023-01-02,01:40,-1.1,0,-1.6,81,110,0,1000.5,0
2023-01-02,01:50,-0.8,0,-1.5,82,110,0.1,1000.4,0.6
2023-01-02,02:00,-0.7,0,-1.4,83,109,0,1000.4,0.6
2023-01-02,02:10,-0.5,0,-1.2,83,109,0.2,1000.2,0.6
2023-01-02,02:20,-0.4,0,-1,82,128,0.8,1000.2,1.2
2023-01-02,02:30,-0.5,0,-1.2,80,133,0.3,1000.4,1.2
2023-01-02,02:40,-0.4,0,-1.2,80,174,0.2,1000.4,0.9
2023-01-02,02:50,-0.1,0,-0.6,78,204,0.6,1000.5,1.2
2023-01-02,03:00,0.6,0,-0.6,77,221,0.5,1000.7,0.9
2023-01-02,03:10,0.5,0,-0.8,78,223,0.1,1000.5,0.6
2023-01-02,03:20,-0.2,0,-0.9,78,223,0.2,1000.5,0.9
2023-01-02,03:30,-0.3,0,-0.8,78,223,0.2,1000.5,0.9
2023-01-02,03:40,-0.2,0,-0.6,79,139,0.6,1000.4,1.2
2023-01-02,03:50,-0.2,0,-0.7,78,100,0.2,1000.5,0.9
2023-01-02,04:00,-0.5,0,-0.6,79,84,0.2,1000.5,0.6
2023-01-02,04:10,-0.6,0,-0.7,79,84,0,1000.5,0.9
2023-01-02,04:20,-0.6,0,-0.4,78,273,0.8,1000.7,1.2
2023-01-02,04:30,-0.9,0,-0.5,78,309,0.7,1000.7,1.2
2023-01-02,04:40,-1.1,0,-0.5,75,323,0.3,1000.7,1.2
2023-01-02,04:50,-1,0,-0.4,76,326,0.2,1000.7,0.9
2023-01-02,05:00,-0.9,0,-0.1,75,334,1,1000.7,1.2
2023-01-02,05:10,-1.1,0,-0.4,77,346,0.8,1000.5,1.5
2023-01-02,05:20,-1.4,0,-0.1,76,335,1.2,1000.5,1.8
2023-01-02,05:30,-1.5,0,-0.1,74,338,1.2,1000.5,1.8
2023-01-02,05:40,-1.9,0,-0.1,74,345,0.8,1000.5,1.2
2023-01-02,05:50,-1.6,0,-0.5,74,339,0.3,1000.5,1.2
2023-01-02,06:00,-1.5,0,-0.4,74,305,1,1000.5,1.8
2023-01-02,06:10,-1.5,0,-0.5,74,333,0.4,1000.5,1.2
2023-01-02,06:20,-1.2,0,-0.5,74,334,0.1,1000.4,0.6
2023-01-02,06:30,-1.1,0,-0.6,76,360,0.2,1000.4,0.9
2023-01-02,06:40,-0.8,0,-0.5,78,37,0.2,1000.4,1.2
2023-01-02,06:50,-0.8,0,-0.3,77,307,0.8,1000.4,1.2
2023-01-02,07:00,-1.1,0,-0.1,76,332,1.3,1000.4,2.1
2023-01-02,07:10,-1.4,0,-0.5,75,332,0.5,1000.4,1.5
2023-01-02,07:20,-1.2,0,-0.4,76,332,1,1000.4,1.8
2023-01-02,07:30,-1.2,0,-0.1,76,342,0.9,1000.4,1.5
2023-01-02,07:40,-1.5,0,-0.1,74,325,1.6,1000.4,2.7
2023-01-02,07:50,-2,0,-0.1,74,330,1.1,1000.4,2.1
2023-01-02,08:00,-1.9,0,-0.4,75,351,0.6,1000.4,1.8
2023-01-02,08:10,-1.8,0,-0.7,76,344,0.2,1000.4,0.9
2023-01-02,08:20,-0.8,0,-0.6,78,20,0.5,1000.4,1.2
2023-01-02,08:30,-0.1,0,-0.5,77,7,0.7,1000.4,1.5
2023-01-02,08:40,1,0,-0.6,77,14,0.4,1000.5,1.2
2023-01-02,08:50,2.8,0,-0.5,77,49,0.7,1000.5,1.2
2023-01-02,09:00,4.5,0,-0.9,78,67,0.1,1000.5,0.6
2023-01-02,09:10,7.6,0,-0.6,79,91,0.4,1000.5,0.9
2023-01-02,09:20,9.5,0,-1,79,49,0.2,1000.7,0.6
2023-01-02,09:30,11.6,0,-1,80,114,0.5,1000.9,1.2
2023-01-02,09:40,14.3,0,-1,82,119,0.5,1000.7,0.9
2023-01-02,09:50,15.5,0,-1.2,82,117,0,1000.7,0.3
2023-01-02,10:00,18.1,0,-1.1,82,115,0,1000.7,0.3
2023-01-02,10:10,23.3,0,-0.5,83,76,0.5,1000.7,1.5
2023-01-02,10:20,27.2,0,-0.7,81,306,0.3,1000.7,1.5
2023-01-02,10:30,31.3,0,-0.8,81,329,0.1,1000.7,0.6
2023-01-02,10:40,34.1,0,-0.9,81,356,0.2,1000.7,0.6
2023-01-02,10:50,37.9,0,-0.9,82,355,0,1000.7,0.6
2023-01-02,11:00,42.7,0,-0.6,81,355,0.2,1000.7,0.9
2023-01-02,11:10,45.2,0,-0.4,80,16,0.5,1000.7,0.9
2023-01-02,11:20,44.3,0,-0.6,79,76,0.6,1000.7,1.2
2023-01-02,11:30,47.4,0,-0.7,80,103,0.5,1000.7,0.9
2023-01-02,11:40,44.7,0,-0.7,80,127,0.1,1000.7,0.6
2023-01-02,11:50,46.3,0,-0.5,81,93,0.2,1000.5,0.9
2023-01-02,12:00,44.6,0,-0.3,80,7,0.6,1000.7,1.5
2023-01-02,12:10,38.4,0,-0.3,78,321,0.2,1000.5,0.9
2023-01-02,12:20,34.8,0,-0.6,79,20,0.4,1000.7,1.2
2023-01-02,12:30,29.8,0,-0.5,80,132,1,1000.5,1.2
2023-01-02,12:40,25.6,0,-0.5,80,127,0.8,1000.5,1.2
2023-01-02,12:50,24,0,-0.4,79,139,1,1000.5,1.8
2023-01-02,13:00,22.2,0,-0.3,78,142,1,1000.5,1.8
2023-01-02,13:10,19.9,0,-0.3,78,138,0.7,1000.5,1.2
2023-01-02,13:20,17.2,0,-0.5,77,138,0.3,1000.7,0.9
2023-01-02,13:30,15.3,0,-0.4,78,188,0.4,1000.7,1.2
2023-01-02,13:40,13.6,0,-0.1,78,268,0.8,1000.7,1.5
2023-01-02,13:50,12.2,0,-0.6,77,236,0.2,1000.7,1.2
2023-01-02,14:00,11.2,0,-0.8,79,181,0.1,1000.7,0.6
2023-01-02,14:10,9.2,0,-0.6,80,105,0.2,1000.7,0.6
2023-01-02,14:20,6.4,0,-0.6,80,159,0.2,1000.9,0.9
2023-01-02,14:30,4.4,0,-0.8,81,135,0.6,1000.9,1.2
2023-01-02,14:40,3,0,-1.1,82,133,1.1,1000.9,1.8
2023-01-02,14:50,1.7,0,-1,83,143,1.5,1000.9,2.1
2023-01-02,15:00,0.9,0,-1.2,83,136,1,1001,1.8
2023-01-02,15:10,-0.4,0,-1.3,83,129,1,1001,1.8
2023-01-02,15:20,-0.7,0,-1.1,83,127,1.3,1001,1.8
2023-01-02,15:30,-1.1,0,-1,83,129,0.8,1001.2,1.2
2023-01-02,15:40,-1.2,0,-1.3,83,169,0.8,1001,1.2
2023-01-02,15:50,-1.5,0,-1.2,83,162,0.5,1001.2,0.9
2023-01-02,16:00,-1.5,0,-1.4,83,144,0.7,1001.2,1.2
2023-01-02,16:10,-1.7,0,-1.5,83,150,0.2,1001.4,0.9
2023-01-02,16:20,-1.1,0,-1.1,84,174,0.2,1001.4,0.6
2023-01-02,16:30,-1.2,0,-1.3,84,201,0,1001.4,0.6
2023-01-02,16:40,-1.5,0,-1.4,83,211,0,1001.5,0.6
2023-01-02,16:50,-1.2,0,-1.5,83,211,0.1,1001.5,0.3
2023-01-02,17:00,-1.3,0,-2,83,211,0,1001.7,0
2023-01-02,17:10,-1,0,-1.7,85,211,0,1001.7,0
2023-01-02,17:20,-0.9,0,-1.3,85,217,0.2,1001.9,0.9
2023-01-02,17:30,-1,0,-1.4,85,223,0.1,1001.9,0.6
2023-01-02,17:40,-1.3,0,-1.5,85,223,0.2,1001.9,0.6
2023-01-02,17:50,-1,0,-1.5,85,153,0.5,1001.9,0.9
2023-01-02,18:00,-0.8,0,-1.5,85,117,0.6,1001.9,1.2
2023-01-02,18:10,-0.6,0,-1.5,85,147,0.9,1002,1.2
2023-01-02,18:20,-1,0,-1.5,85,142,1,1002,1.5
2023-01-02,18:30,-1.4,0,-2.2,85,138,0.2,1002.2,0.9
2023-01-02,18:40,-1.3,0,-2.4,85,137,0,1002.4,0
2023-01-02,18:50,-1.2,0,-2.1,86,137,0.3,1002.6,0.9
2023-01-02,19:00,-0.9,0,-1.8,87,135,0.5,1002.7,0.9
2023-01-02,19:10,-1,0,-1.9,86,130,0.2,1002.7,0.6
2023-01-02,19:20,-1,0,-2,87,130,0.1,1002.9,0.6
2023-01-02,19:30,-0.8,0,-1.9,87,130,0.3,1003.1,0.6
2023-01-02,19:40,-0.6,0,-2,87,,0.8,1003.1,1.2
2023-01-02,19:50,-1,0,-1.7,87,129,0.8,1003.1,1.2
2023-01-02,20:00,-1.2,0,-1.8,87,124,0.2,1003.2,0.6
2023-01-02,20:10,-1,0,-1.9,87,132,0.4,1003.2,0.9
2023-01-02,20:20,-1.2,0,-2,87,139,0.6,1003.4,1.2
2023-01-02,20:30,-1.2,0,-2.3,87,153,0.1,1003.6,0.6
2023-01-02,20:40,-0.9,0,-2.1,87,151,0.6,1003.7,0.9
2023-01-02,20:50,-0.7,0,-2.2,87,150,0.8,1003.9,1.2
2023-01-02,21:00,-0.7,0,-2.1,87,176,0.5,1004.1,0.9
2023-01-02,21:10,-0.9,0,-2.1,87,137,0.2,1004.1,0.6
2023-01-02,21:20,-0.9,0,,87,134,0.1,1004.2,0.6
2023-01-02,21:30,-0.9,0,-1.8,87,133,0.4,1004.2,0.9
2023-01-02,21:40,-0.6,0,-2.1,87,135,0.9,1004.4,1.2
2023-01-02,21:50,-0.7,0,-2.1,87,143,0.8,1004.6,1.5
2023-01-02,22:00,-0.4,0,-2.1,87,151,1,1004.7,1.5
2023-01-02,22:10,-0.7,0,-2.3,87,142,1.4,1004.7,2.1
2023-01-02,22:20,-0.8,0,-2.3,87,139,1.7,1004.7,2.1
2023-01-02,22:30,-0.8,0,-2.6,87,126,0.8,1004.9,1.8
2023-01-02,22:40,-1.2,0,-2.5,87,350,0.4,1005.1,1.8
2023-01-02,22:50,-1.6,0,-2.6,87,214,0.3,1005.2,0.9
2023-01-02,23:00,-1.4,0,-2.6,87,179,0.2,1005.4,0.6
2023-01-02,23:10,-1.5,0,-2.8,87,176,0,1005.4,0
2023-01-02,23:20,-0.9,0,-2.4,88,162,0.1,1005.6,0.9
2023-01-02,23:30,-0.9,0,-2.4,87,131,0.8,1005.6,1.2
2023-01-02,23:40,-0.8,0,-2.2,87,126,0.8,1005.8,1.5
2023-01-02,23:50,-0.9,0,-2,87,142,0.6,1005.9,0.9
2023-01-03,00:00,-0.8,0,-2.1,87,143,0.6,1005.9,1.2
2023-01-03,00:10,-1.3,0,-2.3,87,128,0.6,1006.1,1.2
2023-01-03,00:20,-1.2,0,-2.3,87,148,0.6,1006.1,1.2
2023-01-03,00:30,-0.7,0,-2.2,87,139,0.9,1006.3,1.2
2023-01-03,00:40,-1,0,-2.3,87,131,1,1006.4,1.5
2023-01-03,00:50,-0.9,0,-2.1,87,152,1.2,1006.4,1.5
2023-01-03,01:00,-0.9,0,-2.4,86,141,1.5,1006.4,1.8
2023-01-03,01:10,-1.1,0,-2.1,86,126,1.1,1006.6,1.8
2023-01-03,01:20,-1.1,0,-2.4,85,137,0.5,1006.8,1.2
2023-01-03,01:30,-0.9,0,-1.9,85,131,1,1006.9,2.4
2023-01-03,01:40,,0,-2.5,85,142,1.6,1006.9,2.4
2023-01-03,01:50,-1.2,0,-2.3,86,154,1.3,1007.1,1.8
2023-01-03,02:00,-1.2,0,-2.4,85,133,0.7,1007.3,1.2
2023-01-03,02:10,-1,0,-2.2,85,142,0.8,1007.4,1.2
2023-01-03,02:20,-0,0,-2.3,85,159,0.8,1007.4,1.2
2023-01-03,02:30,0.7,0,-2.1,85,141,1,1007.6,1.5
2023-01-03,02:40,0,0,-2,85,133,0.8,1007.6,1.2
2023-01-03,02:50,0.1,0,-1.8,84,,1,1007.6,1.5
2023-01-03,03:00,0.8,0,-1.3,84,136,1,1007.6,1.5
2023-01-03,03:10,0.7,0,-1.1,83,148,1.4,1007.6,2.4
2023-01-03,03:20,0.3,0,-1.5,81,114,0.6,1007.6,1.8
2023-01-03,03:30,0.4,0,-1.6,82,136,0.3,1007.8,1.2
2023-01-03,03:40,0.1,0,-1.3,82,114,0.3,1007.8,1.2
2023-01-03,03:50,0.3,0,-0.7,82,274,1,1007.8,1.8
2023-01-03,04:00,0.1,0,-1.1,82,326,0.3,1007.8,1.2
2023-01-03,04:10,-0.3,0,-1.4,81,13,0.5,1007.8,0.9
2023-01-03,04:20,-0,0,-0.8,82,209,0.6,1007.9,1.2
2023-01-03,04:30,0.4,0,-0.8,82,313,0.2,1007.9,0.9
2023-01-03,04:40,0.3,0,-1.3,82,210,0.4,1008.1,1.2
2023-01-03,04:50,0.3,0,-1.1,82,126,0.7,1007.9,1.2
2023-01-03,05:00,0.1,0,-0.7,82,149,1.1,1007.9,2.1
2023-01-03,05:10,0.1,0,0.2,80,138,1.4,1008.1,2.1
2023-01-03,05:20,0.1,0,-0.2,78,163,0.8,1008.3,2.1
2023-01-03,05:30,0.1,0,-0.6,79,56,0.7,1008.3,1.5
2023-01-03,05:40,0.3,0,-0.5,80,293,0.7,1008.4,1.5
2023-01-03,05:50,0.3,0,-0.2,80,12,0.5,1008.4,1.2
2023-01-03,06:00,0.4,0,0.3,77,160,1,1008.4,1.8
2023-01-03,06:10,0.3,0,0,77,57,0.3,1008.8,1.2
2023-01-03,06:20,0.3,0,0.3,78,19,0.9,1008.6,1.8
2023-01-03,06:30,0.1,0,1.5,75,86,1.7,1008.6,3
2023-01-03,06:40,0,0,1.5,74,127,2.1,1008.6,2.7
2023-01-03,06:50,0,0,1.8,71,117,1.9,1008.8,2.4
2023-01-03,07:00,0.2,0,1.6,69,121,1.2,1009,2.1
2023-01-03,07:10,0.3,0,1.4,72,47,0.7,1009.1,1.5
2023-01-03,07:20,0.4,0,1.3,75,348,1.8,1009.3,2.7
2023-01-03,07:30,0.3,0,1.3,77,343,1.3,1009.3,2.1
2023-01-03,07:40,-0.1,0,1.3,77,89,1.8,1009.3,3.9
2023-01-03,07:50,-0.9,0,1.6,74,114,3.4,1009.3,4.5
2023-01-03,08:00,-0.9,0,1.8,73,130,3.7,1009.5,4.5
2023-01-03,08:10,-0.3,0,2.1,72,137,3.4,1009.6,4.5
2023-01-03,08:20,0.4,0,2.4,73,155,3.7,1009.6,5.7
2023-01-03,08:30,1.3,0,2.2,74,150,2.6,1009.6,4.2
2023-01-03,08:40,3.3,0,2.8,74,144,3.7,1009.8,5.4
2023-01-03,08:50,4.3,0,2.7,72,146,3.9,1009.8,6
2023-01-03,09:00,6,0,2.8,71,146,4,1010,6
2023-01-03,09:10,11.7,0,2.6,71,142,4.7,1010,6.6
2023-01-03,09:20,19.6,0,2.7,72,143,5.3,1009.8,6.9
2023-01-03,09:30,24.4,0,2.8,72,147,5.2,1010.1,7.5
2023-01-03,09:40,34.3,0,3,73,147,4.3,1010.1,6
2023-01-03,09:50,53.5,0,3,74,146,3.7,1010.1,5.1
2023-01-03,10:00,58.2,0,2.9,74,141,4,1010.3,6.6
2023-01-03,10:10,64.6,3,2.9,74,143,4,1010.3,5.7
2023-01-03,10:20,74,10,2.9,74,141,4.2,1010.3,6.3
2023-01-03,10:30,42.4,4.3,2.9,74,143,4.3,1010.3,5.4
2023-01-03,10:40,29.1,0,3.1,74,148,4.4,1010.5,6
2023-01-03,10:50,32.2,0,3.3,72,150,4.5,1010.5,6.6
2023-01-03,11:00,33.4,0,3.4,71,149,4.7,1010.5,6.6
2023-01-03,11:10,34.4,0,3.3,71,147,4.2,1010.5,7.2
2023-01-03,11:20,40.7,0,3.4,70,153,4.7,1010.5,6.6
2023-01-03,11:30,77.5,4,3.3,70,148,4,1010.5,6.6
2023-01-03,11:40,60.2,4,3.3,70,147,4,1010.5,5.7
2023-01-03,11:50,49.6,0.3,3.5,70,156,4.3,1010.5,6.3
2023-01-03,12:00,45.7,0,3.6,69,156,4.1,1010.3,5.7
2023-01-03,12:10,49.1,0,3.8,69,159,4.2,1010.3,5.4
2023-01-03,12:20,46.9,0,3.8,69,160,3.7,1010.3,5.4
